"","Post_ID","Cluster","Language","Ratio_Eng","Ratio_Ger"
"371","6266","2","German",0.0490066225165563,0.490066225165563
"372","6471","2","German",0.01985559566787,0.476534296028881
"373","6317","2","German",0.0387931034482759,0.405172413793103
"374","6300","2","German",0.0179533213644524,0.44524236983842
"375","6302","1","English",0.590509666080844,0.0527240773286467
"376","6484","1","English",0.368263473053892,0.0293413173652695
"377","6345","2","German",0.0478632478632479,0.422222222222222
"378","6263","1","English",0.53015873015873,0.026984126984127
"379","6609","2","German",0.0240963855421687,0.484939759036145
"380","6594","2","German",0.0303921568627451,0.437254901960784
"381","6674","1","English",0.528478057889823,0.0252100840336134
"382","2920","2","German",0.0553892215568862,0.401946107784431
"383","6632","1","English",0.510878323932313,0.0338436744560838
"384","6706","2","German",0.0212933753943218,0.371451104100946
"385","6356","2","German",0.0452830188679245,0.362264150943396
"386","6378","1","English",0.462406015037594,0.0225563909774436
"387","6880","2","German",0.0305882352941176,0.402352941176471
"388","6785","1","English",0.457119741100324,0.0315533980582524
"389","7010","1","English",0.487785657998424,0.0441292356185973
"390","6851","1","English",0.379518072289157,0.0220883534136546
"391","7018","1","English",0.486058301647655,0.0297845373891001
"392","7162","2","German",0.0390143737166324,0.364134154688569
"393","9189","1","English",0.500994035785288,0.0188866799204771
"394","7184","2","German",0.0391156462585034,0.362244897959184
"395","7057","1","English",0.482235381199112,0.0299777942264989
"396","6697","2","German",0.0662961492655816,0.339023421992854
"397","9185","1","English",0.356989247311828,0.0247311827956989
"398","7213","2","German",0.0336538461538462,0.375
"399","6577","2","German",0.0451745379876797,0.373716632443532
"400","7314","1","English",0.526416906820365,0.0278578290105668
"401","7262","1","English",0.437100213219616,0.0383795309168444
"402","7214","2","German",0.0477855477855478,0.375291375291375
"403","7381","2","German",0.0246360582306831,0.387458006718925
"404","7375","1","English",0.560283687943262,0.0260047281323877
"405","7340","2","German",0.037037037037037,0.486111111111111
"406","7411","1","English",0.39349593495935,0.0130081300813008
"407","7353","2","German",0.059190031152648,0.420560747663551
"408","7415","1","English",0.434351145038168,0.0396946564885496
"409","7244","2","German",0.0345285524568393,0.290836653386454
"410","7248","1","English",0.34412955465587,0.0175438596491228
"411","7684","1","English",0.375757575757576,0.0181818181818182
"412","7745","2","German",0.0260989010989011,0.383241758241758
"413","7275","2","German",0.0189328743545611,0.450946643717728
"414","7785","1","English",0.575250836120401,0.0217391304347826
"415","7846","2","German",0.0338645418326693,0.398406374501992
"416","7803","1","English",0.468652037617555,0.0274294670846395
"417","7829","2","German",0.0657686212361331,0.361331220285261
"418","7895","2","German",0.0899470899470899,0.407407407407407
"419","7904","1","English",0.54066985645933,0.0478468899521531
"420","7936","1","English",0.523212969786293,0.0397936624907885
"421","7965","2","German",0.0343511450381679,0.432824427480916
"422","7916","2","German",0.0544181034482759,0.410021551724138
"423","8020","2","German",0.0470588235294118,0.389915966386555
"424","8073","1","English",0.43040293040293,0.0476190476190476
"425","8128","2","German",0.0351758793969849,0.419095477386935
"426","8135","2","German",0.0393258426966292,0.5
"427","8137","1","English",0.575376884422111,0.042713567839196
"428","8152","2","German",0.0259365994236311,0.397694524495677
"429","8166","2","German",0.0311778290993072,0.420323325635104
"430","9195","2","German",0.0548780487804878,0.0365853658536585
"431","9177","1","English",0.528532608695652,0.0448369565217391
